Numero de documentos del corpus :9688
N�mero de palabras del corpus:112947
Palabra:hahahahahahahahahahahahahhahaha	Frec:1.0	LogProb:-11.099944684820402
Palabra:Amy	Frec:1.0	LogProb:-11.099944684820402
Palabra:christmas	Frec:12.0	LogProb:-9.22814250791881
Palabra:And	Frec:108.0	LogProb:-7.101743983151203
Palabra:gout	Frec:1.0	LogProb:-11.099944684820402
Palabra:justi've	Frec:1.0	LogProb:-11.099944684820402
Palabra:King-O-Rama	Frec:1.0	LogProb:-11.099944684820402
Palabra:rarity	Frec:1.0	LogProb:-11.099944684820402
Palabra:Ann	Frec:3.0	LogProb:-10.406797504260457
Palabra:Hurry	Frec:1.0	LogProb:-11.099944684820402
Palabra:became	Frec:2.0	LogProb:-10.694479576712236
Palabra:oats<br>	Frec:1.0	LogProb:-11.099944684820402
Palabra:vent/blog/whine	Frec:1.0	LogProb:-11.099944684820402
Palabra:chicken	Frec:11.0	LogProb:-9.308185215592346
Palabra:roxx	Frec:1.0	LogProb:-11.099944684820402
Palabra:&amp;+	Frec:1.0	LogProb:-11.099944684820402
Palabra:Any	Frec:10.0	LogProb:-9.395196592581977
Palabra:Studio	Frec:1.0	LogProb:-11.099944684820402
Palabra:nawdats	Frec:1.0	LogProb:-11.099944684820402
Palabra:leprecon	Frec:1.0	LogProb:-11.099944684820402
Palabra:effective	Frec:1.0	LogProb:-11.099944684820402
Palabra:times	Frec:35.0	LogProb:-8.209572926924237
Palabra:salads	Frec:1.0	LogProb:-11.099944684820402
Palabra:BITCH	Frec:17.0	LogProb:-8.902720107484182
Palabra:muscle	Frec:3.0	LogProb:-10.406797504260457
Palabra:Abrilll:	Frec:1.0	LogProb:-11.099944684820402
Palabra:saltier	Frec:1.0	LogProb:-11.099944684820402
Palabra:baddddd	Frec:1.0	LogProb:-11.099944684820402
Palabra:comments	Frec:11.0	LogProb:-9.308185215592346
Palabra:Kylee	Frec:1.0	LogProb:-11.099944684820402
Palabra:Getting	Frec:2.0	LogProb:-10.694479576712236
Palabra:Their	Frec:1.0	LogProb:-11.099944684820402
Palabra:cry	Frec:20.0	LogProb:-8.748569427656923
Palabra:BRA	Frec:1.0	LogProb:-11.099944684820402
Palabra:dreading	Frec:1.0	LogProb:-11.099944684820402
Palabra:witten	Frec:1.0	LogProb:-11.099944684820402
Palabra:abducted	Frec:1.0	LogProb:-11.099944684820402
Palabra:*scrolling*	Frec:1.0	LogProb:-11.099944684820402
Palabra:App	Frec:1.0	LogProb:-11.099944684820402
Palabra:goreng	Frec:1.0	LogProb:-11.099944684820402
Palabra:css	Frec:1.0	LogProb:-11.099944684820402
Palabra:Hibachi	Frec:1.0	LogProb:-11.099944684820402
Palabra:Hurts	Frec:1.0	LogProb:-11.099944684820402
Palabra:pity	Frec:2.0	LogProb:-10.694479576712236
Palabra:freshness	Frec:1.0	LogProb:-11.099944684820402
Palabra:NERD	Frec:4.0	LogProb:-10.183653952946246
Palabra:beautiful	Frec:22.0	LogProb:-8.657597649451198
Palabra:worked	Frec:12.0	LogProb:-9.22814250791881
Palabra:Illuminati	Frec:1.0	LogProb:-11.099944684820402
Palabra:We're	Frec:9.0	LogProb:-9.4905067723863
Palabra:Suree	Frec:1.0	LogProb:-11.099944684820402
Palabra:mccoy	Frec:1.0	LogProb:-11.099944684820402
Palabra:tlking	Frec:1.0	LogProb:-11.099944684820402
Palabra:oooooo	Frec:1.0	LogProb:-11.099944684820402
Palabra:element	Frec:1.0	LogProb:-11.099944684820402
Palabra:awee'	Frec:1.0	LogProb:-11.099944684820402
Palabra:picky	Frec:4.0	LogProb:-10.183653952946246
Palabra:dumplings	Frec:1.0	LogProb:-11.099944684820402
Palabra:piss	Frec:46.0	LogProb:-7.942944263670288
Palabra:aftermath	Frec:1.0	LogProb:-11.099944684820402
Palabra:Diva	Frec:1.0	LogProb:-11.099944684820402
Palabra:cub	Frec:1.0	LogProb:-11.099944684820402
Palabra:Dive	Frec:1.0	LogProb:-11.099944684820402
Palabra:Are	Frec:101.0	LogProb:-7.168119052096076
Palabra:unboxed	Frec:1.0	LogProb:-11.099944684820402
Palabra:slithering	Frec:1.0	LogProb:-11.099944684820402
Palabra:creating	Frec:1.0	LogProb:-11.099944684820402
Palabra:Influence	Frec:1.0	LogProb:-11.099944684820402
Palabra:cum	Frec:20.0	LogProb:-8.748569427656923
Palabra:shots	Frec:1.0	LogProb:-11.099944684820402
Palabra:cup	Frec:3.0	LogProb:-10.406797504260457
