Numero de documentos del corpus :6747
N�mero de palabras del corpus:97247
Palabra:Ron	Frec:2.0	LogProb:-10.786497229841622
Palabra:started.	Frec:3.0	LogProb:-10.49881515738984
Palabra:LETITSNOW.	Frec:3.0	LogProb:-10.49881515738984
Palabra:And	Frec:110.0	LogProb:-7.175579317197396
Palabra:tru	Frec:2.0	LogProb:-10.786497229841622
Palabra:comment.	Frec:2.0	LogProb:-10.786497229841622
Palabra:try	Frec:32.0	LogProb:-8.388601957043251
Palabra:grates	Frec:3.0	LogProb:-10.49881515738984
Palabra:Welkom	Frec:3.0	LogProb:-10.49881515738984
Palabra:'washcloth'	Frec:3.0	LogProb:-10.49881515738984
Palabra:hay.	Frec:3.0	LogProb:-10.49881515738984
Palabra:Reserved	Frec:2.0	LogProb:-10.786497229841622
Palabra:chicken	Frec:8.0	LogProb:-9.687884941173511
Palabra:Jeff's	Frec:2.0	LogProb:-10.786497229841622
Palabra:bleed:)	Frec:1.0	LogProb:-11.191962337949786
Palabra:**bitch***	Frec:1.0	LogProb:-11.191962337949786
Palabra:LMFAOOOOO.	Frec:3.0	LogProb:-10.49881515738984
Palabra:Any	Frec:2.0	LogProb:-10.786497229841622
Palabra:'damn	Frec:3.0	LogProb:-10.49881515738984
Palabra:times	Frec:31.0	LogProb:-8.419373615710004
Palabra:clearly)	Frec:3.0	LogProb:-10.49881515738984
Palabra:BITCH	Frec:23.0	LogProb:-8.707055688161786
Palabra:willll	Frec:1.0	LogProb:-11.191962337949786
Palabra:#damn-fridays	Frec:2.0	LogProb:-10.786497229841622
Palabra:jelly	Frec:2.0	LogProb:-10.786497229841622
Palabra:says	Frec:49.0	LogProb:-7.973086513081585
Palabra:semicolon	Frec:3.0	LogProb:-10.49881515738984
Palabra:That	Frec:166.0	LogProb:-6.767115706092976
Palabra:probs	Frec:2.0	LogProb:-10.786497229841622
Palabra:comments	Frec:5.0	LogProb:-10.093350049281677
Palabra:celibate	Frec:2.0	LogProb:-10.786497229841622
Palabra:ange	Frec:3.0	LogProb:-10.49881515738984
Palabra:flue	Frec:2.0	LogProb:-10.786497229841622
Palabra:crying::	Frec:3.0	LogProb:-10.49881515738984
Palabra:Getting	Frec:2.0	LogProb:-10.786497229841622
Palabra:impersonating	Frec:2.0	LogProb:-10.786497229841622
Palabra:cry	Frec:3.0	LogProb:-10.49881515738984
Palabra:boricuas	Frec:2.0	LogProb:-10.786497229841622
Palabra:guarantees.	Frec:2.0	LogProb:-10.786497229841622
Palabra:totaly	Frec:3.0	LogProb:-10.49881515738984
Palabra:BALLS	Frec:2.0	LogProb:-10.786497229841622
Palabra:flickr	Frec:2.0	LogProb:-10.786497229841622
Palabra:respond	Frec:2.0	LogProb:-10.786497229841622
Palabra:incident	Frec:4.0	LogProb:-10.27567160607563
Palabra:responsible.	Frec:3.0	LogProb:-10.49881515738984
Palabra:caught	Frec:9.0	LogProb:-9.582524425515684
Palabra:STD	Frec:3.0	LogProb:-10.49881515738984
Palabra:Uh...	Frec:3.0	LogProb:-10.49881515738984
Palabra:*sobs*	Frec:3.0	LogProb:-10.49881515738984
Palabra:concert	Frec:7.0	LogProb:-9.805667976829895
Palabra:kobaa	Frec:3.0	LogProb:-10.49881515738984
Palabra:pity	Frec:2.0	LogProb:-10.786497229841622
Palabra:NERD	Frec:11.0	LogProb:-9.400202868721731
Palabra:fairies	Frec:2.0	LogProb:-10.786497229841622
Palabra:arousing	Frec:3.0	LogProb:-10.49881515738984
Palabra:bklyn	Frec:3.0	LogProb:-10.49881515738984
Palabra:rflecting	Frec:3.0	LogProb:-10.49881515738984
Palabra:beautiful	Frec:1.0	LogProb:-11.191962337949786
Palabra:whale's	Frec:3.0	LogProb:-10.49881515738984
Palabra:worked	Frec:10.0	LogProb:-9.48721424571136
Palabra:bojangles	Frec:3.0	LogProb:-10.49881515738984
Palabra:We're	Frec:7.0	LogProb:-9.805667976829895
Palabra:friends.	Frec:5.0	LogProb:-10.093350049281677
Palabra:Then	Frec:20.0	LogProb:-8.840587080786309
Palabra:state	Frec:6.0	LogProb:-9.939199369454418
Palabra:worker	Frec:3.0	LogProb:-10.49881515738984
Palabra:needed.	Frec:1.0	LogProb:-11.191962337949786
Palabra:element	Frec:2.0	LogProb:-10.786497229841622
Palabra:environmental	Frec:2.0	LogProb:-10.786497229841622
Palabra:absitence	Frec:3.0	LogProb:-10.49881515738984
Palabra:him...no	Frec:3.0	LogProb:-10.49881515738984
Palabra:it...I'm	Frec:3.0	LogProb:-10.49881515738984
Palabra:loveable	Frec:3.0	LogProb:-10.49881515738984
Palabra:Vulcan	Frec:2.0	LogProb:-10.786497229841622
Palabra:picks	Frec:3.0	LogProb:-10.49881515738984
Palabra:probable	Frec:3.0	LogProb:-10.49881515738984
Palabra:opposite	Frec:5.0	LogProb:-10.093350049281677
Palabra:piss	Frec:47.0	LogProb:-8.01390850760184
Palabra:Are	Frec:26.0	LogProb:-8.589272652505402
Palabra:creating	Frec:1.0	LogProb:-11.191962337949786
Palabra:cum	Frec:18.0	LogProb:-8.94067053934329
Palabra:RocketTransfer.com.	Frec:3.0	LogProb:-10.49881515738984
Palabra:shots	Frec:4.0	LogProb:-10.27567160607563
Palabra:cup	Frec:3.0	LogProb:-10.49881515738984
Palabra:summer..	Frec:1.0	LogProb:-11.191962337949786
Palabra:James....	Frec:3.0	LogProb:-10.49881515738984
Palabra:cus	Frec:4.0	LogProb:-10.27567160607563
Palabra:cut	Frec:18.0	LogProb:-8.94067053934329
Palabra:Aww...	Frec:2.0	LogProb:-10.786497229841622
Palabra:BTW	Frec:5.0	LogProb:-10.093350049281677
Palabra:probably	Frec:26.0	LogProb:-8.589272652505402
Palabra:cuz	Frec:50.0	LogProb:-7.953283885785405
Palabra:weekend.	Frec:2.0	LogProb:-10.786497229841622
Palabra:two	Frec:20.0	LogProb:-8.840587080786309
Palabra:rocket.	Frec:3.0	LogProb:-10.49881515738984
Palabra:moment	Frec:8.0	LogProb:-9.687884941173511
Palabra:lemonbars	Frec:3.0	LogProb:-10.49881515738984
Palabra:celery	Frec:3.0	LogProb:-10.49881515738984
Palabra:show.	Frec:11.0	LogProb:-9.400202868721731
Palabra:shoul	Frec:1.0	LogProb:-11.191962337949786
Palabra:attack	Frec:5.0	LogProb:-10.093350049281677
